start_date,end_statn,gender,start_station_name,end_station_name,start_stn_municipality,end_stn_municipality
July-13,76,Male,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Cambridge,Cambridge
July-13,12,Male,Longwood Ave/Riverway,Ruggles Station / Columbus Ave.,Boston,Boston
July-13,22,Female,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,South Station - 700 Atlantic Ave.,Boston,Boston
July-13,16,Female,Boston Medical Center -  East Concord at Harrison Ave,Back Bay / South End Station,Boston,Boston
July-13,128,Female,Lafayette Square at Mass Ave / Main St / Columbia St,Kendall T at Main St,Cambridge,Cambridge
July-13,78,,Harvard Real Estate - Brighton Mills - 370 Western Ave,Union Square - Somerville,Boston,Somerville
July-13,54,Male,Boston Public Library - 700 Boylston St.,Tremont St / West St,Boston,Boston
July-13,3,,Kenmore Sq / Comm Ave,Colleges of the Fenway,Boston,Boston
July-13,69,,Boston Medical Center -  East Concord at Harrison Ave,Coolidge Corner - Beacon St @ Centre St,Boston,Brookline
July-13,16,Male,Washington St. at Rutland St.,Back Bay / South End Station,Boston,Boston
July-13,21,Male,Back Bay / South End Station,Prudential Center / Belvidere,Boston,Boston
July-13,74,Male,Longwood Ave/Riverway,Harvard Square at Mass Ave/ Dunster,Boston,Cambridge
July-13,22,Male,TD Garden - Causeway at Portal Park #1,South Station - 700 Atlantic Ave.,Boston,Boston
July-13,53,Male,Lewis Wharf - Atlantic Ave.,Beacon St / Mass Ave,Boston,Boston
July-13,50,Male,Mayor Thomas M. Menino - Government Center,Boylston St / Berkeley St,Boston,Boston
July-13,76,Male,Inman Square at Vellucci Plaza / Hampshire St,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Cambridge,Cambridge
July-13,36,Male,MIT at Mass Ave / Amherst St,Boston Public Library - 700 Boylston St.,Cambridge,Boston
July-13,126,Male,MIT at Mass Ave / Amherst St,Washington Square at Washington St. / Beacon St.,Cambridge,Brookline
July-13,36,,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Boston Public Library - 700 Boylston St.,Cambridge,Boston
July-13,16,Male,Landmark Centre,Back Bay / South End Station,Boston,Boston
July-13,5,,B.U. Central - 725 Comm. Ave.,Northeastern U / North Parking Lot,Boston,Boston
July-13,50,,Boylston at Fairfield,Boylston St / Berkeley St,Boston,Boston
July-13,51,Female,Washington St. at Rutland St.,Washington St. at Lenox St.,Boston,Boston
July-13,47,Male,Cambridge St. at Joy St.,Cross St. at Hanover St.,Boston,Boston
July-13,42,,Faneuil Hall - Union St. at North St.,Boylston St. at Arlington St.,Boston,Boston
July-13,42,,Faneuil Hall - Union St. at North St.,Boylston St. at Arlington St.,Boston,Boston
July-13,40,Male,Faneuil Hall - Union St. at North St.,Lewis Wharf - Atlantic Ave.,Boston,Boston
July-13,17,Male,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,Harvard University Housing - 111 Western Ave. at Soldiers Field Park,Cambridge,Boston
July-13,133,Male,Charles Circle - Charles St. at Cambridge St.,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,Boston,Cambridge
July-13,5,,B.U. Central - 725 Comm. Ave.,Northeastern U / North Parking Lot,Boston,Boston
